DATE,IUMAMIIF
31 Jan 2010,4.0487
28 Feb 2010,3.9437
31 Mar 2010,4.2015
30 Apr 2010,4.3286
31 May 2010,4.085
30 Jun 2010,3.9198
31 Jul 2010,3.7472
31 Aug 2010,3.6052
30 Sep 2010,3.7635
31 Oct 2010,3.8402
30 Nov 2010,4.0273
31 Dec 2010,4.1829
31 Jan 2011,4.049
28 Feb 2011,4.0351
31 Mar 2011,4.023
30 Apr 2011,4.0413
31 May 2011,3.8654
30 Jun 2011,4.0264
31 Jul 2011,4.137
31 Aug 2011,3.8688
30 Sep 2011,3.4944
31 Oct 2011,3.1364
30 Nov 2011,3.1189
31 Dec 2011,3.387
31 Jan 2012,3.4434
29 Feb 2012,3.5799
31 Mar 2012,3.5219
30 Apr 2012,3.4683
31 May 2012,3.2602
30 Jun 2012,2.9797
31 Jul 2012,2.8912
31 Aug 2012,2.8806
30 Sep 2012,2.8336
31 Oct 2012,2.8139
30 Nov 2012,2.891
31 Dec 2012,3.0908
31 Jan 2013,3.3481
28 Feb 2013,3.5481
31 Mar 2013,3.5046
30 Apr 2013,3.533
31 May 2013,3.5226
30 Jun 2013,3.6379
31 Jul 2013,3.6563
31 Aug 2013,3.7752
30 Sep 2013,3.7323
31 Oct 2013,3.6865
30 Nov 2013,3.7413
31 Dec 2013,3.8319
31 Jan 2014,3.6528
28 Feb 2014,3.542
31 Mar 2014,3.6192
30 Apr 2014,3.6431
31 May 2014,3.615
30 Jun 2014,3.6567
31 Jul 2014,3.5654
31 Aug 2014,3.4732
30 Sep 2014,3.4563
31 Oct 2014,3.4994
30 Nov 2014,3.5186
31 Dec 2014,3.396
31 Jan 2015,3.1472
28 Feb 2015,3.0955
31 Mar 2015,3.195
30 Apr 2015,3.308
31 May 2015,3.4959
30 Jun 2015,3.6038
31 Jul 2015,3.5685
31 Aug 2015,3.5402
30 Sep 2015,3.4562
31 Oct 2015,3.4242
30 Nov 2015,3.5055
31 Dec 2015,3.4801
31 Jan 2016,3.4043
29 Feb 2016,3.3204
31 Mar 2016,3.3851
30 Apr 2016,3.3655
31 May 2016,3.2856
30 Jun 2016,3.1888
31 Jul 2016,3.0825
31 Aug 2016,3.092
30 Sep 2016,3.4501
31 Oct 2016,3.7053
30 Nov 2016,3.8308
31 Dec 2016,3.8713
31 Jan 2017,3.8613
28 Feb 2017,3.8654
31 Mar 2017,3.7176
30 Apr 2017,3.7187
31 May 2017,3.7251
30 Jun 2017,3.6435
31 Jul 2017,3.7093
31 Aug 2017,3.7078
30 Sep 2017,3.7137
31 Oct 2017,3.7691
30 Nov 2017,3.7369
31 Dec 2017,3.7336
31 Jan 2018,3.7785
28 Feb 2018,3.826
31 Mar 2018,3.7549
30 Apr 2018,3.6822
31 May 2018,3.6669
30 Jun 2018,3.6504
31 Jul 2018,3.5921
31 Aug 2018,3.5984
30 Sep 2018,3.5917
31 Oct 2018,3.7143
30 Nov 2018,3.7599
31 Dec 2018,3.8294
31 Jan 2019,3.7523
28 Feb 2019,3.7156
31 Mar 2019,3.7834
30 Apr 2019,3.7728
31 May 2019,3.7534
30 Jun 2019,3.6942
31 Jul 2019,3.6392
31 Aug 2019,3.5626
30 Sep 2019,3.5355
31 Oct 2019,3.5153
30 Nov 2019,3.4744
31 Dec 2019,3.5244
31 Jan 2020,3.5204
29 Feb 2020,3.4542
31 Mar 2020,3.2311
30 Apr 2020,3.2675
31 May 2020,3.3538
30 Jun 2020,3.5341
31 Jul 2020,3.5216
31 Aug 2020,3.5304
30 Sep 2020,3.5647
31 Oct 2020,3.621
30 Nov 2020,3.5336
31 Dec 2020,3.5854
31 Jan 2021,3.5116
28 Feb 2021,3.6549
31 Mar 2021,3.7514
30 Apr 2021,3.7802
31 May 2021,3.818
30 Jun 2021,3.7927
31 Jul 2021,3.7262
31 Aug 2021,3.7433
30 Sep 2021,3.7973
31 Oct 2021,3.9668
30 Nov 2021,3.8878
31 Dec 2021,3.7015
31 Jan 2022,3.8547
28 Feb 2022,3.9842
31 Mar 2022,4.0012
30 Apr 2022,3.9928
31 May 2022,3.9167
30 Jun 2022,4.0021
31 Jul 2022,3.8434
31 Aug 2022,3.772
30 Sep 2022,3.7502
31 Oct 2022,3.5051
30 Nov 2022,3.5392
31 Dec 2022,3.5507
31 Jan 2023,3.6237
28 Feb 2023,3.5896
31 Mar 2023,3.5377
30 Apr 2023,3.6114
31 May 2023,3.5499
30 Jun 2023,3.5516
31 Jul 2023,3.5317
31 Aug 2023,3.5827
30 Sep 2023,3.5885
31 Oct 2023,3.6128
30 Nov 2023,3.6007
31 Dec 2023,3.4196
31 Jan 2024,3.3579
29 Feb 2024,3.3769
31 Mar 2024,3.3893
30 Apr 2024,3.4749
31 May 2024,3.4492
30 Jun 2024,3.407
31 Jul 2024,3.3691
31 Aug 2024,3.2861
30 Sep 2024,3.2243
31 Oct 2024,3.3192
30 Nov 2024,3.3535
31 Dec 2024,3.3233
31 Jan 2025,3.3781
28 Feb 2025,3.3285
31 Mar 2025,3.3084
30 Apr 2025,3.2653
31 May 2025,3.2303
30 Jun 2025,3.2465
31 Jul 2025,3.2831
31 Aug 2025,3.217
30 Sep 2025,3.1943
31 Oct 2025,3.187
30 Nov 2025,3.1374
31 Dec 2025,3.2317
